18745 | train: 98.953% | test : 98.960% | LR: 0.00005408 | Dropout: 0.597 | time: 0.631s
18746 | train: 98.973% | test : 98.990% | LR: 0.00005191 | Dropout: 0.595 | time: 0.630s
18747 | train: 98.992% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.632s
18748 | train: 98.930% | test : 98.940% | LR: 0.00005554 | Dropout: 0.592 | time: 0.631s
18749 | train: 99.048% | test : 98.960% | LR: 0.00005408 | Dropout: 0.592 | time: 0.630s
18750 | train: 99.058% | test : 98.990% | LR: 0.00005191 | Dropout: 0.597 | time: 0.630s
18751 | train: 98.980% | test : 98.930% | LR: 0.00005628 | Dropout: 0.597 | time: 0.630s
18752 | train: 98.930% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.630s
18753 | train: 99.047% | test : 98.980% | LR: 0.00005263 | Dropout: 0.593 | time: 0.632s
18754 | train: 99.073% | test : 98.950% | LR: 0.00005481 | Dropout: 0.598 | time: 0.630s
18755 | train: 98.900% | test : 98.930% | LR: 0.00005628 | Dropout: 0.598 | time: 0.630s
18756 | train: 98.860% | test : 98.960% | LR: 0.00005408 | Dropout: 0.591 | time: 0.631s
18757 | train: 98.957% | test : 98.990% | LR: 0.00005191 | Dropout: 0.591 | time: 0.631s
18758 | train: 99.058% | test : 98.940% | LR: 0.00005554 | Dropout: 0.596 | time: 0.630s
18759 | train: 98.957% | test : 98.940% | LR: 0.00005554 | Dropout: 0.596 | time: 0.630s
18760 | train: 98.947% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.631s
18761 | train: 98.943% | test : 98.930% | LR: 0.00005628 | Dropout: 0.593 | time: 0.631s
18762 | train: 98.987% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.631s
18763 | train: 99.072% | test : 98.980% | LR: 0.00005263 | Dropout: 0.593 | time: 0.631s
18764 | train: 99.030% | test : 98.940% | LR: 0.00005554 | Dropout: 0.596 | time: 0.633s
18765 | train: 99.033% | test : 98.970% | LR: 0.00005336 | Dropout: 0.596 | time: 0.630s
18766 | train: 98.952% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.630s
18767 | train: 98.952% | test : 98.970% | LR: 0.00005336 | Dropout: 0.593 | time: 0.632s
18768 | train: 98.970% | test : 98.990% | LR: 0.00005191 | Dropout: 0.593 | time: 0.631s
18769 | train: 99.035% | test : 99.010% | LR: 0.00005048 | Dropout: 0.593 | time: 0.631s
18770 | train: 99.020% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.631s
18771 | train: 98.995% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.631s
18772 | train: 98.932% | test : 98.940% | LR: 0.00005554 | Dropout: 0.592 | time: 0.632s
18773 | train: 99.000% | test : 98.960% | LR: 0.00005408 | Dropout: 0.592 | time: 0.630s
18774 | train: 98.975% | test : 98.990% | LR: 0.00005191 | Dropout: 0.592 | time: 0.631s
18775 | train: 99.013% | test : 98.990% | LR: 0.00005191 | Dropout: 0.592 | time: 0.631s
18776 | train: 98.970% | test : 98.990% | LR: 0.00005191 | Dropout: 0.592 | time: 0.631s
18777 | train: 99.063% | test : 98.960% | LR: 0.00005408 | Dropout: 0.592 | time: 0.630s
18778 | train: 99.045% | test : 99.000% | LR: 0.00005119 | Dropout: 0.596 | time: 0.630s
18779 | train: 98.987% | test : 98.980% | LR: 0.00005263 | Dropout: 0.596 | time: 0.631s
18780 | train: 98.935% | test : 98.980% | LR: 0.00005263 | Dropout: 0.593 | time: 0.631s
18781 | train: 99.030% | test : 98.980% | LR: 0.00005263 | Dropout: 0.593 | time: 0.630s
18782 | train: 99.025% | test : 98.970% | LR: 0.00005336 | Dropout: 0.595 | time: 0.631s
18783 | train: 98.965% | test : 98.990% | LR: 0.00005191 | Dropout: 0.595 | time: 0.631s
18784 | train: 99.000% | test : 98.990% | LR: 0.00005191 | Dropout: 0.595 | time: 0.630s
18785 | train: 98.987% | test : 98.950% | LR: 0.00005481 | Dropout: 0.595 | time: 0.631s
18786 | train: 99.020% | test : 98.930% | LR: 0.00005628 | Dropout: 0.597 | time: 0.630s
18787 | train: 98.953% | test : 98.990% | LR: 0.00005191 | Dropout: 0.597 | time: 0.630s
18788 | train: 99.047% | test : 98.950% | LR: 0.00005481 | Dropout: 0.599 | time: 0.631s
18789 | train: 98.935% | test : 99.010% | LR: 0.00005048 | Dropout: 0.599 | time: 0.631s
18790 | train: 98.993% | test : 98.980% | LR: 0.00005263 | Dropout: 0.598 | time: 0.632s
18791 | train: 98.897% | test : 98.970% | LR: 0.00005336 | Dropout: 0.598 | time: 0.630s
18792 | train: 98.880% | test : 98.950% | LR: 0.00005481 | Dropout: 0.591 | time: 0.630s
18793 | train: 99.048% | test : 98.920% | LR: 0.00005702 | Dropout: 0.591 | time: 0.630s
18794 | train: 99.063% | test : 98.960% | LR: 0.00005408 | Dropout: 0.596 | time: 0.630s
18795 | train: 98.967% | test : 98.980% | LR: 0.00005263 | Dropout: 0.596 | time: 0.630s
18796 | train: 98.933% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.630s
18797 | train: 98.973% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.632s
18798 | train: 98.953% | test : 98.960% | LR: 0.00005408 | Dropout: 0.592 | time: 0.631s
18799 | train: 99.040% | test : 98.930% | LR: 0.00005628 | Dropout: 0.592 | time: 0.630s
18800 | train: 99.013% | test : 98.930% | LR: 0.00005628 | Dropout: 0.594 | time: 0.629s
18801 | train: 98.938% | test : 98.990% | LR: 0.00005191 | Dropout: 0.594 | time: 0.631s
18802 | train: 99.007% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.630s
18803 | train: 99.013% | test : 98.990% | LR: 0.00005191 | Dropout: 0.595 | time: 0.630s
18804 | train: 98.988% | test : 98.940% | LR: 0.00005554 | Dropout: 0.595 | time: 0.631s
18805 | train: 98.982% | test : 98.920% | LR: 0.00005702 | Dropout: 0.595 | time: 0.631s
18806 | train: 98.913% | test : 98.980% | LR: 0.00005263 | Dropout: 0.591 | time: 0.632s
18807 | train: 99.058% | test : 98.950% | LR: 0.00005481 | Dropout: 0.591 | time: 0.629s
18808 | train: 99.010% | test : 98.980% | LR: 0.00005263 | Dropout: 0.593 | time: 0.630s
18809 | train: 99.037% | test : 98.970% | LR: 0.00005336 | Dropout: 0.593 | time: 0.631s
18810 | train: 99.070% | test : 98.940% | LR: 0.00005554 | Dropout: 0.598 | time: 0.630s
18811 | train: 98.868% | test : 98.950% | LR: 0.00005481 | Dropout: 0.598 | time: 0.631s
18812 | train: 99.007% | test : 98.940% | LR: 0.00005554 | Dropout: 0.598 | time: 0.632s
18813 | train: 98.903% | test : 98.980% | LR: 0.00005263 | Dropout: 0.598 | time: 0.632s
18814 | train: 99.007% | test : 98.940% | LR: 0.00005554 | Dropout: 0.597 | time: 0.630s
18815 | train: 98.933% | test : 98.940% | LR: 0.00005554 | Dropout: 0.597 | time: 0.630s
18816 | train: 99.013% | test : 98.940% | LR: 0.00005554 | Dropout: 0.598 | time: 0.630s
18817 | train: 98.967% | test : 98.940% | LR: 0.00005554 | Dropout: 0.598 | time: 0.632s
18818 | train: 98.922% | test : 98.980% | LR: 0.00005263 | Dropout: 0.593 | time: 0.630s
18819 | train: 98.950% | test : 98.980% | LR: 0.00005263 | Dropout: 0.593 | time: 0.631s
18820 | train: 99.048% | test : 98.940% | LR: 0.00005554 | Dropout: 0.597 | time: 0.632s
18821 | train: 98.998% | test : 98.930% | LR: 0.00005628 | Dropout: 0.597 | time: 0.631s
18822 | train: 98.920% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.630s
18823 | train: 99.000% | test : 98.970% | LR: 0.00005336 | Dropout: 0.593 | time: 0.631s
18824 | train: 98.993% | test : 99.000% | LR: 0.00005119 | Dropout: 0.593 | time: 0.631s
18825 | train: 98.962% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.631s
18826 | train: 98.997% | test : 98.970% | LR: 0.00005336 | Dropout: 0.594 | time: 0.630s
18827 | train: 98.965% | test : 98.960% | LR: 0.00005408 | Dropout: 0.594 | time: 0.631s
18828 | train: 98.970% | test : 98.970% | LR: 0.00005336 | Dropout: 0.593 | time: 0.630s
18829 | train: 98.940% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.630s
18830 | train: 98.998% | test : 98.950% | LR: 0.00005481 | Dropout: 0.594 | time: 0.631s
18831 | train: 98.993% | test : 98.910% | LR: 0.00005776 | Dropout: 0.594 | time: 0.631s
18832 | train: 98.987% | test : 98.970% | LR: 0.00005336 | Dropout: 0.594 | time: 0.632s
18833 | train: 98.945% | test : 98.960% | LR: 0.00005408 | Dropout: 0.594 | time: 0.632s
18834 | train: 98.937% | test : 98.960% | LR: 0.00005408 | Dropout: 0.592 | time: 0.630s
18835 | train: 99.012% | test : 98.980% | LR: 0.00005263 | Dropout: 0.592 | time: 0.631s
18836 | train: 98.988% | test : 98.990% | LR: 0.00005191 | Dropout: 0.592 | time: 0.631s
18837 | train: 99.007% | test : 98.960% | LR: 0.00005408 | Dropout: 0.592 | time: 0.631s
18838 | train: 99.012% | test : 98.970% | LR: 0.00005336 | Dropout: 0.594 | time: 0.630s
18839 | train: 98.987% | test : 98.980% | LR: 0.00005263 | Dropout: 0.594 | time: 0.631s
18840 | train: 99.003% | test : 98.910% | LR: 0.00005776 | Dropout: 0.595 | time: 0.632s
18841 | train: 98.978% | test : 98.950% | LR: 0.00005481 | Dropout: 0.595 | time: 0.630s
18842 | train: 98.943% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.631s
18843 | train: 99.027% | test : 98.910% | LR: 0.00005776 | Dropout: 0.593 | time: 0.629s
18844 | train: 98.993% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.632s
18845 | train: 98.992% | test : 98.900% | LR: 0.00005850 | Dropout: 0.593 | time: 0.631s
18846 | train: 99.015% | test : 98.930% | LR: 0.00005628 | Dropout: 0.595 | time: 0.631s
18847 | train: 98.992% | test : 98.930% | LR: 0.00005628 | Dropout: 0.595 | time: 0.630s
18848 | train: 98.970% | test : 98.940% | LR: 0.00005554 | Dropout: 0.594 | time: 0.631s
18849 | train: 98.972% | test : 98.920% | LR: 0.00005702 | Dropout: 0.594 | time: 0.629s
18850 | train: 98.935% | test : 98.950% | LR: 0.00005481 | Dropout: 0.591 | time: 0.630s
18851 | train: 99.028% | test : 98.930% | LR: 0.00005628 | Dropout: 0.591 | time: 0.631s
18852 | train: 98.993% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.630s
18853 | train: 99.020% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.631s
18854 | train: 99.028% | test : 98.920% | LR: 0.00005702 | Dropout: 0.595 | time: 0.631s
18855 | train: 98.958% | test : 98.890% | LR: 0.00005925 | Dropout: 0.595 | time: 0.631s
18856 | train: 98.965% | test : 98.960% | LR: 0.00005408 | Dropout: 0.594 | time: 0.630s
18857 | train: 98.947% | test : 98.910% | LR: 0.00005776 | Dropout: 0.594 | time: 0.630s
18858 | train: 98.973% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.632s
18859 | train: 99.133% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.631s
18860 | train: 98.992% | test : 98.890% | LR: 0.00005925 | Dropout: 0.594 | time: 0.632s
18861 | train: 98.925% | test : 98.940% | LR: 0.00005554 | Dropout: 0.594 | time: 0.630s
18862 | train: 98.977% | test : 98.930% | LR: 0.00005628 | Dropout: 0.593 | time: 0.632s
18863 | train: 98.952% | test : 98.930% | LR: 0.00005628 | Dropout: 0.593 | time: 0.631s
18864 | train: 98.930% | test : 99.000% | LR: 0.00005119 | Dropout: 0.591 | time: 0.630s
18865 | train: 99.008% | test : 98.920% | LR: 0.00005702 | Dropout: 0.591 | time: 0.631s
18866 | train: 99.040% | test : 98.910% | LR: 0.00005776 | Dropout: 0.595 | time: 0.632s
18867 | train: 98.957% | test : 98.980% | LR: 0.00005263 | Dropout: 0.595 | time: 0.631s
18868 | train: 98.955% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.630s
18869 | train: 98.997% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.631s
18870 | train: 99.005% | test : 98.960% | LR: 0.00005408 | Dropout: 0.594 | time: 0.631s
18871 | train: 98.982% | test : 98.940% | LR: 0.00005554 | Dropout: 0.594 | time: 0.631s
18872 | train: 98.973% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.630s
18873 | train: 99.027% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.631s
18874 | train: 98.958% | test : 98.910% | LR: 0.00005776 | Dropout: 0.592 | time: 0.632s
18875 | train: 99.047% | test : 98.930% | LR: 0.00005628 | Dropout: 0.592 | time: 0.631s
18876 | train: 99.003% | test : 98.970% | LR: 0.00005336 | Dropout: 0.594 | time: 0.631s
18877 | train: 98.938% | test : 98.890% | LR: 0.00005925 | Dropout: 0.594 | time: 0.630s
18878 | train: 98.973% | test : 98.900% | LR: 0.00005850 | Dropout: 0.593 | time: 0.630s
18879 | train: 98.967% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.631s
18880 | train: 99.003% | test : 98.890% | LR: 0.00005925 | Dropout: 0.594 | time: 0.631s
18881 | train: 98.945% | test : 98.930% | LR: 0.00005628 | Dropout: 0.594 | time: 0.630s
