PS C:\Users\anmal\Desktop\ai\best ai\gen10 fasione  miniset - Copy> py -3.12 Gen_10-v2-93%+.py
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1788544237.260885   11704 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1788544239.107074   11704 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.

Using device: cuda

Dataset : Fashion-MNIST
Train   : 60,000 samples
Test    : 10,000 samples

Gen 10 Architecture (Spatial Order Preserved):
  Y-stream (rows)  : 28 -> [256, 126] -> 128  (flattened to 3584D map)
  X-stream (cols)  : 28 -> [256, 126] -> 128  (flattened to 3584D map)
  3D stack         : concat [3584 + 3584] = 7168D structural input
  Merger           : 7168 -> [1024, 512, 256] -> 10

Total trainable parameters: 8,116,990

Training Gen 10 XY Dual-Axis Net (Spatial Order + AdamW)...

    1 | train: 83.867% | test : 86.610% (best: 86.610%) | LR: 0.000198 | Drop: 0.010 | time: 0.78s
    2 | train: 89.703% | test : 88.520% (best: 88.520%) | LR: 0.000166 | Drop: 0.010 | time: 0.53s
    3 | train: 90.542% | test : 89.000% (best: 89.000%) | LR: 0.000158 | Drop: 0.010 | time: 0.52s
    4 | train: 91.027% | test : 89.510% (best: 89.510%) | LR: 0.000150 | Drop: 0.053 | time: 0.52s
    5 | train: 91.377% | test : 89.690% (best: 89.690%) | LR: 0.000147 | Drop: 0.053 | time: 0.53s
    6 | train: 91.910% | test : 89.760% (best: 89.760%) | LR: 0.000146 | Drop: 0.053 | time: 0.52s
    7 | train: 92.358% | test : 90.230% (best: 90.230%) | LR: 0.000138 | Drop: 0.053 | time: 0.52s
    8 | train: 92.673% | test : 90.380% (best: 90.380%) | LR: 0.000135 | Drop: 0.097 | time: 0.53s
    9 | train: 92.842% | test : 90.390% (best: 90.390%) | LR: 0.000135 | Drop: 0.097 | time: 0.52s
   10 | train: 93.298% | test : 90.440% (best: 90.440%) | LR: 0.000134 | Drop: 0.097 | time: 0.52s
   11 | train: 93.530% | test : 90.660% (best: 90.660%) | LR: 0.000131 | Drop: 0.097 | time: 0.52s
   12 | train: 93.903% | test : 90.770% (best: 90.770%) | LR: 0.000129 | Drop: 0.145 | time: 0.54s
   13 | train: 93.603% | test : 90.860% (best: 90.860%) | LR: 0.000128 | Drop: 0.145 | time: 0.52s
   14 | train: 93.993% | test : 90.910% (best: 90.910%) | LR: 0.000127 | Drop: 0.145 | time: 0.53s
   17 | train: 94.202% | test : 90.940% (best: 90.940%) | LR: 0.000126 | Drop: 0.193 | time: 0.54s
   18 | train: 94.487% | test : 91.240% (best: 91.240%) | LR: 0.000122 | Drop: 0.193 | time: 0.54s
   23 | train: 94.882% | test : 91.220% (best: 91.240%) | LR: 0.000122 | Drop: 0.235 | time: 0.50s
   25 | train: 94.810% | test : 91.180% (best: 91.240%) | LR: 0.000123 | Drop: 0.267 | time: 0.50s
   26 | train: 94.955% | test : 91.190% (best: 91.240%) | LR: 0.000122 | Drop: 0.267 | time: 0.50s
   27 | train: 95.217% | test : 91.190% (best: 91.240%) | LR: 0.000122 | Drop: 0.267 | time: 0.50s
   28 | train: 95.238% | test : 91.270% (best: 91.270%) | LR: 0.000121 | Drop: 0.297 | time: 0.54s
